time,number,avg_dilation
585138,29326,0.09503375527426394
585158,29327,0.04853375527426396
585178,29328,0.06953375527426386
585198,29329,0.0014662447257358657
585218,29330,0.11053375527426423
585238,29331,0.06603375527426403
585258,29332,0.14853375527426405
585278,29333,0.1460337552742641
585298,29334,0.041033755274264117
585318,29335,0.07803375527426404
585338,29336,0.033033755274263665
585358,29337,0.024033755274264212
585378,29338,0.02203375527426399
585398,29339,0.13353375527426392
585418,29340,0.0470337552742639
585437,29341,0.1330337552742642
585457,29342,0.10653375527426379
585477,29343,0.10153375527426389
585497,29344,0.04853375527426396
585517,29345,0.10603375527426406
585537,29346,0.10253375527426423
585557,29347,0.08303375527426393
585577,29348,0.08453375527426399
585597,29349,0.07203375527426426
585617,29350,0.014466244725735766
585637,29351,0.009466244725735873
585657,29352,0.06703375527426436
585677,29353,0.03153375527426405
585697,29354,0.018533755274263708
585716,29355,0.016033755274264205
585736,29356,0.050033755274264013
585756,29357,0.03453375527426372
585776,29358,0.058533755274263743
585796,29359,0.06853375527426397
585816,29360,0.13203375527426386
585836,29361,0.09203375527426383
585856,29362,0.08153375527426387
585876,29363,0.09553375527426455
585896,29364,0.07653375527426398
585916,29365,0.08403375527426382
585936,29366,0.0690337552742637
585956,29367,0.11553375527426413
585976,29368,0.1145337552742638
585996,29369,0.11653375527426446
586016,29370,0.05153375527426407
586036,29371,0.11303375527426374
586056,29372,0.04653375527426418
586075,29373,0.06403375527426425
586095,29374,0.056533755274263964
586115,29375,0.08003375527426382
586135,29376,0.0510337552742639
586155,29377,0.11103375527426396
586175,29378,0.12603375527426408
586295,29384,0.033466244725735894
586315,29385,0.09146624472573572
586335,29386,0.2029662447257361
586354,29387,0.254466244725736
586374,29388,0.3099662447257363
586394,29389,0.278466244725736
586414,29390,0.002033755274263971
586434,29391,0.10096624472573579
586454,29392,0.08003375527426382
586474,29393,0.08153375527426343
586494,29394,0.04653375527426418
586514,29395,0.06753375527426364
586534,29396,0.04353375527426406
586554,29397,0.014533755274264148
586713,29405,0.0014662447257358657
586733,29406,0.18146624472573603
586753,29407,0.5899662447257366
586773,29408,0.14646624472573633
586793,29409,0.3379662447257359
586813,29410,0.07453375527426376
586833,29411,0.03253375527426394
586853,29412,0.0875337552742641
586873,29413,0.007033755274263864
586893,29414,0.009533755274264255
586913,29415,0.026033755274263992
586933,29416,0.002033755274263971
586953,29417,0.0014662447257358657
586973,29418,0.06296624472573642
586992,29419,0.07746624472573638
587012,29420,0.03453375527426372
587032,29421,0.0019662447257355886
587052,29422,0.001033755274264081
587072,29423,0.07503375527426392
587092,29424,0.059033755274264355
587112,29425,0.013466244725735876
587132,29426,0.06603375527426403
587152,29427,0.029966244725736058
587172,29428,0.08253375527426376
587192,29429,0.09603375527426428
587212,29430,0.08653375527426377
587232,29431,0.037533755274263836
587252,29432,0.08203375527426404
587272,29433,0.0014662447257358657
587292,29434,0.010033755274263978
587312,29435,0.07703375527426415
587331,29436,0.08803375527426427
587351,29437,0.07153375527426409
587371,29438,0.033533755274264276
587391,29439,0.01903375527426432
587411,29440,0.104533755274264
587431,29441,0.0875337552742641
587451,29442,0.12353375527426413
587471,29443,0.11253375527426401
587491,29444,0.09803375527426406
587511,29445,0.0615337552742643
587531,29446,0.08153375527426387
587551,29447,0.0915337552742641
587571,29448,0.06803375527426381
587591,29449,0.07903375527426393
587611,29450,0.06453375527426397
587630,29451,0.06703375527426392
587650,29452,0.13653375527426403
587670,29453,0.007033755274263864
587690,29454,0.026533755274263715
587710,29455,0.06753375527426408
587730,29456,0.13703375527426376
587750,29457,0.031033755274263886
587770,29458,0.0780337552742636
587790,29459,0.09203375527426383
587810,29460,0.13346624472573554
587830,29461,0.11803375527426452
587850,29462,0.1640337552742639
587870,29463,0.11403375527426407
587890,29464,0.13103375527426397
587910,29465,0.14953375527426394
587930,29466,0.2035337552742642
587950,29467,0.13153375527426414
587969,29468,0.033533755274264276
587989,29469,0.034033755274264
588009,29470,0.17853375527426385
588029,29471,0.14803375527426388
588049,29472,0.08853375527426399
588069,29473,0.12053375527426402
588089,29474,0.10903375527426418
588109,29475,0.10803375527426384
588129,29476,0.07103375527426392
588149,29477,0.10253375527426423
588169,29478,0.0470337552742639
588189,29479,0.031033755274263886
588209,29480,0.09003375527426405
588229,29481,0.09753375527426389
588249,29482,0.04253375527426373
588269,29483,0.09503375527426394
588288,29484,0.09003375527426405
588308,29485,0.09603375527426428
588328,29486,0.09453375527426422
588348,29487,0.11403375527426407
588368,29488,0.06503375527426414
588388,29489,0.07453375527426376
588408,29490,0.12003375527426385
588428,29491,0.11903375527426396
588448,29492,0.05403375527426446
588468,29493,0.05003375527426357
588488,29494,0.062033755274264024
588508,29495,0.07503375527426348
588528,29496,0.05553375527426452
588548,29497,0.10703375527426395
588568,29498,0.10853375527426401
588588,29499,0.12353375527426413
588607,29500,0.10803375527426384
588627,29501,0.12353375527426413
588647,29502,0.1850337552742638
588667,29503,0.10603375527426406
588687,29504,0.09953375527426411
588707,29505,0.14153375527426393
588727,29506,0.13903375527426443
588747,29507,0.1565337552742636
588767,29508,0.13903375527426354
588787,29509,0.12803375527426386
588807,29510,0.1720337552742639
588827,29511,0.18903375527426425
588847,29512,0.2005337552742641
588867,29513,0.175033755274264
588887,29514,0.1640337552742639
588907,29515,0.1565337552742636
588926,29516,0.24053375527426413
588946,29517,0.15703375527426378
588966,29518,0.1800337552742639
588986,29519,0.16903375527426379
589006,29520,0.1720337552742639
589026,29521,0.18703375527426402
589046,29522,0.20803375527426393
589066,29523,0.17253375527426407
589086,29524,0.18803375527426391
589106,29525,0.15753375527426394
589126,29526,0.16103375527426378
589146,29527,0.18103375527426424
589166,29528,0.11203375527426429
589186,29529,0.10903375527426418
589206,29530,0.15153375527426372
589226,29531,0.1405337552742636
589245,29532,0.1540337552742641
589265,29533,0.15203375527426388
589285,29534,0.15853375527426428
589305,29535,0.11953375527426413
589325,29536,0.1355337552742637
589345,29537,0.14353375527426415
589365,29538,0.12853375527426403
589385,29539,0.15003375527426366
589405,29540,0.13103375527426397
589425,29541,0.14153375527426393
589445,29542,0.18603375527426413
589465,29543,0.14803375527426432
589485,29544,0.15053375527426383
589505,29545,0.15853375527426428
589525,29546,0.11303375527426418
589544,29547,0.13053375527426425
589564,29548,0.07153375527426409
589584,29549,0.08803375527426383
589604,29550,0.07553375527426409
589624,29551,0.07503375527426392
589644,29552,0.08303375527426438
589664,29553,0.147033755274264
589684,29554,0.15153375527426416
589704,29555,0.05903375527426391
589724,29556,0.056533755274263964
589744,29557,0.03803375527426445
589764,29558,0.05103375527426435
589784,29559,0.04353375527426406
589804,29560,0.049033755274264124
589824,29561,0.028033755274263772
589844,29562,0.019533755274264042
589864,29563,0.01846624472573577
589883,29564,0.023466244725736107
589903,29565,0.019533755274264042
589923,29566,0.061033755274264134
589943,29567,0.04953375527426429
589963,29568,0.08003375527426426
589983,29569,0.0780337552742636
590003,29570,0.0940337552742645
590023,29571,0.05703375527426369
590043,29572,0.06653375527426375
590063,29573,0.10253375527426423
590083,29574,0.08803375527426383
590123,29576,0.014966244725735933
590143,29577,0.04253375527426417
590163,29578,0.06653375527426375
590182,29579,0.06753375527426408
590202,29580,0.08803375527426427
590222,29581,0.0785337552742642
590242,29582,0.09203375527426383
590262,29583,0.0990337552742635
590282,29584,0.1095337552742639
590302,29585,0.10153375527426389
590322,29586,0.05803375527426402
590342,29587,0.01903375527426432
590362,29588,0.06853375527426397
590382,29589,0.004533755274264362
590422,29591,0.03946624472573612
590442,29592,0.0779662447257361
590462,29593,0.03696624472573573
590482,29594,0.04096624472573618
590502,29595,0.055466244725736136
590522,29596,0.05146624472573613
590541,29597,0.05896624472573597
590561,29598,0.0154662447257361
590581,29599,0.022966244725736384
590601,29600,0.049966244725736075
590621,29601,0.05796624472573608
590641,29602,0.01296624472573571
590661,29603,0.09146624472573572
590681,29604,0.0854662447257355
590701,29605,0.05146624472573613
590721,29606,0.029466244725736335
590741,29607,0.0819662447257361
590761,29608,0.030966244725735947
590781,29609,0.01946624472573566
590801,29610,0.04596624472573607
590820,29611,0.07953375527426365
590840,29612,0.03453375527426372
590860,29613,0.02553375527426427
590880,29614,0.05503375527426391
590900,29615,0.008466244725735539
590920,29616,0.0785337552742642
590940,29617,0.08453375527426399
590960,29618,0.0560337552742638
590980,29619,0.035533755274264056
591000,29620,0.06953375527426386
591020,29621,0.09796624472573612
591040,29622,0.012466244725735987
591060,29623,0.059033755274264355
591080,29624,0.010033755274263978
591100,29625,0.015966244725735823
591120,29626,0.08303375527426393
591140,29627,0.033033755274263665
591160,29628,0.04296624472573596
591179,29629,0.01096624472573593
591199,29630,0.001033755274264081
591219,29631,0.03503375527426389
591239,29632,0.0414662447257359
591259,29633,0.006033755274263974
591279,29634,0.008033755274264198
591299,29635,0.017966244725736047
591319,29636,0.03653375527426439
591339,29637,0.05996624472573586
591359,29638,0.008033755274263754
591379,29639,0.02196624472573605
591399,29640,0.04296624472573596
591419,29641,0.02853375527426394
591439,29642,0.019533755274264042
591458,29643,0.02396624472573583
591478,29644,0.005533755274263807
591498,29645,0.02196624472573605
591518,29646,0.027466244725735667
591538,29647,0.0014662447257358657
591558,29648,0.054533755274264184
591578,29649,0.05603375527426424
591598,29650,0.05046624472573624
591618,29651,0.008533755274263921
591638,29652,0.04546624472573635
591658,29653,0.04253375527426373
591678,29654,0.03603375527426378
591698,29655,0.03646624472573601
591718,29656,0.006533755274264141
591738,29657,0.06603375527426403
591758,29658,0.001033755274263637
591778,29659,0.0019662447257360327
591798,29660,0.03846624472573579
591817,29661,0.02003375527426421
591837,29662,0.02153375527426382
591857,29663,0.017533755274263818
591877,29664,0.019533755274264042
591897,29665,0.044466244725736015
591917,29666,0.016533755274263928
591937,29667,0.018033755274263985
591957,29668,0.001966244725736477
591977,29669,0.0014662447257358657
591997,29670,0.00046624472573597586
592017,29671,0.037966244725736065
592037,29672,0.0649662447257362
592057,29673,0.0024662447257361997
592077,29674,0.0024662447257361997
592096,29675,0.026033755274263992
592117,29676,0.06146624472573636
592136,29677,0.07846624472573582
592156,29678,0.06046624472573603
592176,29679,0.10296624472573646
592196,29680,0.03396624472573606
592216,29681,0.03846624472573623
592236,29682,0.028966244725736168
592256,29683,0.04403375527426423
592276,29684,0.041033755274264117
592296,29685,0.0374662447257359
592316,29686,0.014966244725736377
592336,29687,0.005966244725736036
592356,29688,0.02396624472573583
592376,29689,0.01846624472573577
592396,29690,0.014033755274263537
592416,29691,0.08553375527426388
592435,29692,0.03253375527426394
592455,29693,0.01096624472573593
592475,29694,0.006033755274263974
592495,29695,0.025466244725735887
592515,29696,0.026033755274263992
592535,29697,0.024533755274263935
592555,29698,0.0029662447257359226
592575,29699,0.0055337552742642515
