number,time,duration,screen_x,screen_y,avg_dilation
281,94465,179,64,718,0.108466245
282,94664,618,98,713,0.161466245
283,95382,259,39,625,0.163966245
284,95781,180,769,626,0.130966245
285,95980,179,740,740,0.169466245
286,96179,199,750,687,0.191533755
287,96598,140,682,556,0.313033755
288,96817,219,703,573,0.248033755
289,97097,100,682,567,0.263033755
290,97316,379,713,565,0.258533755
291,97715,179,719,563,0.233533755
292,97914,120,721,570,0.180533755
293,98053,379,680,569,0.160533755
294,98452,419,728,550,0.206533755
295,98891,159,701,521,0.236533755
296,99070,359,714,517,0.288033755
297,99449,219,716,531,0.266033755
298,99708,140,652,513,0.266533755
299,99948,299,700,513,0.281533755
300,100506,180,688,507,0.253533755
301,100705,419,669,519,0.227533755
302,101244,379,704,540,0.189033755
303,101842,817,704,535,0.348533755
304,102679,239,700,555,0.364033755
305,102958,120,705,564,0.222033755
306,103138,120,700,584,0.308533755
307,103377,558,661,580,0.246033755
308,104035,100,712,616,0.103033755
309,104234,239,738,610,0.078966245
310,104493,140,689,585,0.119466245
311,104732,100,93,572,0.149033755
312,104892,120,21,577,0.147033755
313,105032,279,40,590,0.165533755
314,105610,159,44,605,0.099033755
315,105789,638,25,606,0.088033755
316,106706,379,83,635,0.067533755
317,107125,179,767,590,0.386466245
318,107324,159,708,592,0.068966245
319,107504,180,742,593,0.179466245
320,107703,100,809,615,0.098466245
321,108042,498,93,621,0.175033755
322,108561,239,77,647,0.088533755
323,108820,259,101,675,0.079533755
324,109099,339,92,675,0.096466245
325,109717,140,706,617,0.336466245
326,109877,518,736,641,0.152466245
327,110435,160,724,613,0.136533755
328,110614,339,823,616,0.184533755
329,111013,140,740,618,0.204033755
330,111332,120,101,633,0.249533755
331,111471,120,78,708,0.215533755
332,111611,100,82,706,0.187033755
333,111731,459,91,674,0.145533755
334,112209,219,95,664,0.163033755
335,112608,140,786,632,0.105966245
336,112767,120,733,653,0.151466245
337,113027,120,735,637,0.127966245
338,113166,219,778,640,0.153466245
339,113545,180,748,637,0.205533755
340,113804,100,771,633,0.129533755
341,113964,339,739,655,0.216533755
342,114422,120,809,645,0.157033755
343,114721,259,734,609,0.242033755
344,115020,199,834,589,0.224033755
345,115519,179,738,619,0.267533755
346,115838,379,728,682,0.220033755
347,116356,578,708,583,0.264533755
348,116954,179,693,526,0.197033755
349,117193,219,693,497,0.238033755
350,117512,319,728,521,0.290533755
351,117891,299,761,643,0.300033755
352,118210,259,732,655,0.243033755
353,118489,179,763,697,0.203033755
354,118689,299,725,686,0.227033755
355,119785,179,747,605,0.083466245
356,120005,379,841,585,0.200033755
357,120423,379,722,588,0.205033755
358,120982,199,742,552,0.164033755
359,121480,279,735,536,0.074466245
360,121779,180,737,520,0.107033755
361,121978,279,718,647,0.155533755
362,122278,419,723,594,0.112533755
363,122876,179,99,664,0.052033755
364,123075,219,82,677,0.094966245
365,123314,239,88,623,0.068466245
366,123673,179,794,612,0.078466245
367,123932,359,734,619,0.112033755
368,124311,239,741,610,0.126533755
369,124690,120,846,616,0.086533755
370,124889,100,160,656,0.085033755
371,125069,678,87,650,0.152033755
372,126145,259,95,691,0.088033755
373,126425,279,83,711,0.170533755
374,126783,120,85,711,0.134033755
375,126923,180,60,700,0.170533755
376,127162,159,747,663,0.130533755
377,127342,100,723,639,0.146033755
378,127541,359,727,628,0.210033755
379,127980,140,735,616,0.202033755
380,128319,199,834,597,0.300533755
381,128578,120,766,592,0.259533755
382,128777,180,722,674,0.223533755
383,129056,180,730,652,0.180033755
384,129256,140,724,653,0.194033755
385,129415,180,812,640,0.245033755
386,129654,100,757,643,0.240533755
387,129834,219,105,705,0.268033755
388,130113,299,80,732,0.224533755
389,130552,140,138,728,0.223033755
390,130711,877,67,730,0.218533755
391,131608,219,48,710,0.159033755
392,131848,140,99,714,0.110533755
393,132007,200,99,710,0.153033755
394,132306,219,119,740,0.033033755
395,132545,140,117,767,0.087966245
396,132705,100,62,650,0.076033755
397,132924,498,92,646,0.115033755
398,133901,219,84,658,0.117466245
399,134140,120,88,629,0.085533755
400,134400,159,75,616,0.092466245
401,134599,419,101,639,0.313466245
402,135117,339,86,668,0.084466245
403,135476,219,93,698,0.112966245
404,135935,219,87,758,0.090466245
405,136174,419,94,748,0.084033755
406,136613,339,101,756,0.054533755
407,136971,379,95,733,0.063533755
408,137889,558,93,647,0.120533755
409,138726,438,728,616,0.162533755
410,139185,219,711,636,0.220033755
411,139524,139,736,632,0.264533755
412,139723,180,784,625,0.303033755
413,140082,179,729,658,0.212033755
414,140361,239,94,641,0.187533755
415,140660,120,72,616,0.143033755
416,140899,140,750,526,0.196033755
417,141059,279,675,462,0.182533755
418,141557,219,225,183,0.378533755
419,141856,239,436,188,0.395033755
420,142155,319,560,201,0.323533755
421,142494,957,593,203,0.276033755
422,143491,239,448,197,0.208033755
423,143750,479,493,247,0.143533755
424,144249,379,448,188,0.177533755
425,144767,179,97,247,0.134033755
426,144966,957,61,228,0.183033755
427,145943,798,59,229,0.144033755
428,146781,538,252,221,0.166033755
429,147339,319,240,222,0.158533755
430,147678,339,268,219,0.148533755
431,148057,219,54,235,0.151533755
432,148495,159,33,565,0.133533755
433,148675,259,15,515,0.160033755
434,149094,219,24,610,0.109033755
435,149333,140,23,608,0.191033755
436,149572,140,75,609,0.159033755
437,149731,299,39,570,0.183533755
438,150050,259,46,575,0.170033755
439,150330,180,10,548,0.206033755
440,150649,259,62,547,0.201533755
441,151067,359,41,601,0.166033755
442,151446,299,71,579,0.104966245
443,151765,538,32,585,0.116466245
444,152323,678,81,613,0.180966245
445,153141,459,44,629,0.138966245
446,153619,538,113,647,0.133466245
447,154217,199,116,663,0.086533755
448,154457,140,114,637,0.050533755
449,154616,179,75,625,0.057033755
450,154835,259,699,554,0.075533755
451,155135,219,671,579,0.175033755
452,155533,299,708,558,0.277533755
453,155952,259,652,571,0.200533755
454,156231,120,685,572,0.238033755
455,156410,279,709,585,0.217533755
456,156829,558,701,544,0.222533755
457,157467,518,661,527,0.221033755
458,158006,219,705,565,0.151033755
459,158265,219,742,542,0.185533755
460,158604,179,782,534,0.204533755
461,158863,239,683,542,0.217033755
462,159122,120,689,559,0.182033755
463,159301,219,756,578,0.166033755
464,159959,219,82,614,0.195533755
465,160219,180,117,639,0.150033755
466,160757,140,115,646,0.122966245
467,160956,160,120,665,0.049966245
468,161415,339,742,599,0.139033755
469,161774,419,744,594,0.167533755
470,162212,1914,744,591,0.202533755
471,164465,140,67,582,0.190533755
472,164625,419,70,572,0.199033755
473,165063,219,35,546,0.188533755
474,165303,279,61,535,0.148033755
475,165662,339,709,537,0.110033755
476,166020,279,670,498,0.231033755
477,166320,219,717,471,0.279533755
478,166738,459,736,552,0.227033755
479,167276,120,712,538,0.234033755
480,167416,140,713,523,0.253033755
481,167576,219,735,540,0.220533755
482,167914,279,80,554,0.226033755
483,168213,180,60,583,0.118033755
484,168413,179,59,581,0.105533755
485,168712,379,72,571,0.282966245
486,169111,518,90,598,0.078033755
487,169669,120,153,596,0.078033755
488,169808,299,105,618,0.118533755
489,170127,259,86,603,0.128533755
490,170407,140,135,610,0.120033755
491,170706,399,100,630,0.171533755
492,171124,180,89,648,0.130533755
493,171643,100,120,636,0.073966245
494,171762,837,122,651,0.144033755
495,172620,319,106,643,0.117533755
496,173337,638,86,628,0.189466245
497,173995,219,147,619,0.038533755
498,174235,100,45,557,0.087533755
499,174354,279,45,561,0.092033755
500,174653,618,122,616,0.155966245
501,175291,379,124,656,0.171966245
502,175690,319,108,666,0.152466245
503,176029,120,153,681,0.105466245
504,176228,140,657,582,0.092966245
505,176428,399,729,570,0.164466245
506,177066,219,750,574,0.183466245
507,177305,718,731,556,0.202033755
508,178043,199,721,589,0.227533755
509,178302,239,760,582,0.183033755
510,178661,180,871,586,0.121033755
511,178900,159,821,580,0.165533755
512,179139,239,732,592,0.172033755
513,179558,219,705,589,0.131533755
514,179797,219,676,545,0.085033755
515,180216,159,762,533,0.344966245
516,180395,299,703,535,0.069533755
517,180794,738,749,555,0.147033755
518,181552,379,747,598,0.112033755
519,182030,339,760,568,0.106533755
520,182489,119,139,665,0.136533755
521,182628,140,92,666,0.170533755
522,182788,279,103,639,0.189033755
523,183187,199,774,570,0.148533755
524,183406,159,749,583,0.092033755
525,183705,159,859,592,0.097466245
526,183884,538,749,590,0.122533755
527,184443,419,741,608,0.143466245
528,184981,279,93,638,0.054533755
529,185280,100,116,681,0.083533755
530,185519,857,107,665,0.226033755
531,186516,239,733,591,0.253033755
532,186775,339,751,632,0.177033755
533,187373,518,109,657,0.221033755
534,188031,160,91,661,0.161533755
535,188211,239,112,637,0.115033755
536,188530,120,713,673,0.084033755
537,188789,179,759,628,0.146033755
538,189068,219,119,669,0.124033755
539,189407,239,117,644,0.113033755
540,189706,199,807,588,0.221466245
541,189926,159,741,573,0.257966245
542,190264,100,274,293,0.093033755
543,190464,120,491,194,0.130533755
544,190603,179,430,206,0.177533755
545,190823,1715,583,228,0.174533755
546,192657,279,508,259,0.116466245
547,192956,518,426,235,0.078466245
548,193554,777,51,245,0.111966245
549,194392,160,396,256,0.067533755
550,194571,259,424,235,0.054966245
551,194870,299,40,243,0.065533755
552,195249,199,431,222,0.077033755
553,195687,140,421,479,0.087966245
554,195887,339,11,540,0.154533755
555,196305,219,28,588,0.111533755
556,196644,179,62,570,0.084533755
557,196963,359,59,568,0.138533755
558,197402,917,677,539,0.265033755
559,198339,678,661,530,0.225533755
560,199097,179,711,535,0.098033755
561,199456,160,89,528,0.177533755
562,199775,199,37,537,0.073033755
563,199994,160,39,544,0.068533755
564,200353,160,50,610,0.132966245
565,200692,120,20,591,0.037533755
566,200851,100,13,587,0.052033755
567,200971,239,79,581,0.120966245
