,time,event,event_key,data1,data2,description
247,578473,LMouseButton,1,494,246,
248,579165,Keyboard,3,160,0,LShiftKey
249,579445,Keyboard,3,89,0,Y
250,579766,Keyboard,3,69,0,e
251,579965,Keyboard,3,83,0,s
252,580692,LMouseButton,1,463,263,
253,581091,LMouseButton,1,463,263,
254,581231,LMouseButton,1,463,263,
255,582077,Keyboard,3,160,0,LShiftKey
256,582462,Keyboard,3,78,0,N
257,583012,Keyboard,3,79,0,o
258,585318,LMouseButton,1,449,282,
259,592048,LMouseButton,1,125,676,
260,603423,LMouseButton,1,720,693,
261,604540,LMouseButton,1,760,706,
262,615905,LMouseButton,1,574,276,
263,617939,LMouseButton,1,610,282,
264,619025,LMouseButton,1,550,328,
265,632455,LMouseButton,1,44,612,
266,633372,LMouseButton,1,39,600,
267,635914,LMouseButton,1,680,596,
268,636543,LMouseButton,1,678,585,
269,645415,LMouseButton,1,698,601,
270,646392,LMouseButton,1,698,601,
271,652573,LMouseButton,1,456,196,
272,653919,LMouseButton,1,612,196,
273,654876,LMouseButton,1,576,231,
274,662843,LMouseButton,1,42,597,
275,663540,LMouseButton,1,44,588,
276,666651,LMouseButton,1,57,626,
277,667459,LMouseButton,1,59,615,
278,668625,LMouseButton,1,112,656,
279,672065,LMouseButton,1,677,584,
280,673062,LMouseButton,1,676,551,
281,674667,LMouseButton,1,717,612,
282,676820,LMouseButton,1,698,658,
283,678346,LMouseButton,1,763,691,
284,681008,LMouseButton,1,466,211,
285,682264,LMouseButton,1,610,212,
286,682962,LMouseButton,1,580,232,
287,688983,LMouseButton,1,65,613,
288,689861,LMouseButton,1,41,583,
289,691127,LMouseButton,1,45,607,
290,693978,LMouseButton,1,106,692,
291,695723,LMouseButton,1,697,660,
292,697737,LMouseButton,1,697,563,
293,699122,LMouseButton,1,680,614,
294,705333,LMouseButton,1,676,551,
295,707287,LMouseButton,1,679,581,
296,708294,LMouseButton,1,672,598,
297,709610,LMouseButton,1,722,685,
298,709999,LMouseButton,1,720,689,
299,714665,LMouseButton,1,698,633,
300,717467,LMouseButton,1,698,631,
301,730377,LMouseButton,1,717,721,
302,730906,LMouseButton,1,717,721,
303,731594,LMouseButton,1,717,691,
304,732172,LMouseButton,1,717,691,
305,740277,LMouseButton,1,697,805,
306,750426,LMouseButton,1,463,231,
307,751593,LMouseButton,1,608,233,
308,752859,LMouseButton,1,572,276,
309,758322,LMouseButton,1,90,725,
310,761543,LMouseButton,1,698,630,
311,764883,LMouseButton,1,692,656,
312,766398,LMouseButton,1,726,675,
313,782199,LMouseButton,1,568,246,
314,783495,LMouseButton,1,607,245,
315,784462,LMouseButton,1,579,244,
316,785409,LMouseButton,1,582,247,
317,785718,LMouseButton,1,581,247,
318,786017,LMouseButton,1,580,248,
319,786920,Keyboard,3,160,0,LShiftKey
320,787188,Keyboard,3,89,0,Y
321,787334,Keyboard,3,69,0,e
322,787507,Keyboard,3,83,0,s
323,789317,LMouseButton,1,440,260,
324,798160,LMouseButton,1,41,611,
325,799974,LMouseButton,1,81,582,
326,802706,LMouseButton,1,674,594,
327,803414,LMouseButton,1,672,550,
328,804690,LMouseButton,1,691,563,
329,806764,LMouseButton,1,751,630,
330,810970,LMouseButton,1,42,582,
331,812356,LMouseButton,1,42,582,
332,815097,LMouseButton,1,612,265,
333,816194,LMouseButton,1,570,310,
334,821678,LMouseButton,1,42,547,
335,823273,LMouseButton,1,42,547,
336,825605,LMouseButton,1,679,549,
337,832404,LMouseButton,1,42,546,
