number,time,duration,screen_x,secrren_y
410,235834,239,1320,373
411,236751,140,1015,581
412,236930,379,941,517
413,237329,100,890,476
414,237448,239,886,469
415,237768,199,910,431
416,238246,239,951,423
417,238505,279,1089,459
418,239044,120,1037,451
419,239283,319,872,447
420,239721,339,962,417
421,240120,100,947,519
422,240300,259,920,502
423,241017,120,1005,572
424,241157,140,1009,536
425,241316,159,1004,544
426,241496,200,1030,525
427,241735,100,691,487
428,242114,139,887,504
429,242273,120,870,515
430,242433,379,960,479
431,242852,140,988,494
432,243091,359,1066,494
433,243490,319,856,507
434,243829,219,882,531
435,244147,339,894,538
436,244526,160,923,569
437,244706,140,929,569
438,244865,100,886,565
439,245304,199,936,553
440,245922,179,883,532
441,246121,160,905,493
442,246301,419,869,491
443,246739,259,872,444
444,247078,199,1030,460
445,247298,160,1088,483
446,247517,638,1081,613
447,248195,159,980,540
448,248374,179,995,551
449,248574,100,998,567
450,248693,199,1027,519
451,248972,199,1043,492
452,249271,120,1042,490
453,249491,279,871,517
454,249870,120,863,530
455,250009,140,866,523
456,250268,100,919,436
457,250408,199,957,403
458,250687,179,407,164
459,250886,279,276,180
460,251205,140,367,21
461,251385,259,447,-36
462,251664,279,513,-50
463,252063,199,318,183
464,252541,140,300,212
465,252721,359,492,209
466,253099,179,231,213
467,253299,578,271,212
468,253917,299,48,214
469,254236,100,100,216
470,254515,100,977,618
471,254993,120,401,584
472,255193,179,379,593
473,255612,219,960,588
474,255851,439,857,513
475,256369,160,875,552
476,256768,239,928,593
477,257047,319,856,448
478,257625,200,889,416
479,257884,319,1071,500
480,258283,239,1028,435
481,258542,239,1060,452
482,259021,180,958,402
483,259380,199,940,509
484,259719,339,989,504
485,260277,618,923,499
486,260935,419,1004,547
487,261374,160,989,546
488,261693,140,937,515
489,261852,159,924,522
490,262051,160,924,527
491,262231,100,916,525
492,262390,1017,925,502
493,263427,100,937,515
494,263547,139,885,568
495,263726,100,892,579
496,263886,100,1022,545
497,264025,100,1024,552
498,264205,359,926,494
499,264603,100,1008,489
500,264723,100,1002,497
501,264843,120,880,552
502,265142,339,869,544
503,265500,279,948,554
504,265999,120,901,569
505,266617,100,963,480
506,266737,140,1054,503
507,266896,100,1048,504
508,267395,339,985,418
509,267753,239,1000,529
510,268312,419,1005,527
511,268850,239,893,492
512,269109,159,896,487
513,269289,279,1024,507
514,269588,179,1037,541
515,270266,259,1036,547
516,270545,100,1038,537
517,270704,279,1037,534
518,271063,180,1077,626
519,271362,199,992,496
520,271641,120,1027,531
521,272100,259,1008,547
522,272379,120,1062,614
523,272519,120,1055,623
524,272678,100,953,574
525,273196,159,1084,618
526,273376,140,1099,614
527,273595,199,886,577
528,273894,219,932,561
529,274313,259,934,506
530,274811,239,847,487
531,275270,498,887,527
532,275808,239,910,559
533,276107,319,973,415
534,276446,180,1086,435
535,276685,199,1032,441
536,277343,120,969,417
537,277483,199,972,396
538,277842,160,1095,439
539,278041,100,1042,433
540,278161,100,1039,428
541,278380,379,369,178
542,278839,359,1019,471
543,279218,219,891,473
544,279457,120,852,477
545,279935,219,293,192
546,280234,179,929,513
547,280434,279,864,477
548,280972,678,858,454
549,282168,159,878,502
550,282348,160,880,529
551,282667,279,874,525
552,283026,219,853,520
553,283364,120,1019,517
554,283504,100,1012,514
