number,time,duration,screen_x,secrren_y
578,205078,578,84,612
579,205676,140,46,624
580,205836,279,44,614
581,206174,319,121,613
582,206633,319,115,623
583,206972,120,95,617
584,207112,159,151,619
585,207371,499,83,608
586,207889,259,59,643
587,208168,778,91,602
588,209085,498,33,607
589,209624,239,97,609
590,209883,319,116,639
591,210262,239,57,584
592,210521,479,57,592
593,211019,479,106,616
594,211558,279,109,664
595,211897,1176,57,554
596,213093,239,55,534
597,213352,219,96,533
598,213751,379,20,540
599,214149,379,83,556
600,214608,179,97,578
601,214947,279,29,532
602,215246,319,52,531
603,215585,259,81,551
604,215864,319,55,555
605,216203,279,66,528
606,216542,179,119,590
607,216741,478,79,597
608,217240,239,82,616
609,217499,459,40,574
610,217997,219,23,571
611,218237,817,88,612
612,219134,120,174,575
613,219273,379,76,604
614,219672,339,39,597
615,220031,379,92,611
616,220430,538,115,639
617,220988,319,35,616
618,221387,120,107,616
619,221526,219,100,616
620,221825,140,96,645
621,222025,977,111,629
622,223062,160,61,601
623,223560,578,112,657
624,224218,100,719,532
625,224637,120,167,281
626,224836,239,57,229
627,225095,160,35,254
628,225334,100,211,253
629,225454,319,241,239
630,225833,180,51,241
631,226132,140,677,563
632,226371,140,708,546
633,226531,140,702,541
634,226750,219,684,524
635,226989,159,694,528
636,227169,179,653,527
637,227448,120,669,540
638,227587,140,675,532
639,227747,299,740,563
640,228066,179,742,555
641,228365,239,719,543
642,228644,180,717,541
643,228843,179,784,535
644,229123,100,740,549
645,229242,160,691,537
646,229422,180,686,555
647,229661,179,719,579
648,229960,179,749,576
649,230159,259,730,557
650,230438,319,700,566
651,230777,279,752,569
652,231216,479,725,554
653,231834,319,697,523
654,232173,160,752,558
655,232352,239,744,552
656,232691,439,91,626
657,233150,279,47,630
658,233449,100,84,615
659,233708,279,703,556
660,234007,219,748,565
661,234247,339,707,585
662,234805,199,734,558
663,235044,498,701,574
664,235822,439,719,571
665,236300,100,706,571
666,236420,199,754,590
667,236639,219,800,609
668,236978,219,771,630
669,237297,180,701,600
670,237516,239,755,599
671,237875,219,776,666
672,238134,179,771,679
673,238334,140,777,683
674,238573,279,730,570
675,238912,778,698,526
676,239729,120,759,686
677,240347,419,762,540
678,240846,100,756,547
679,241025,239,82,627
680,241284,319,136,617
681,241663,159,818,583
682,241922,279,734,547
683,242221,140,787,539
684,242560,100,867,574
685,242959,139,761,562
