,time,event,event_key,data1,data2,description
264,805113,LMouseButton,1,851,853,
265,805741,LMouseButton,1,855,853,
266,807047,LMouseButton,1,712,724,
267,807575,LMouseButton,1,722,723,
268,810805,LMouseButton,1,866,732,
269,816347,LMouseButton,1,733,348,
270,828947,LMouseButton,1,1031,637,
271,837500,LMouseButton,1,831,692,
272,839264,LMouseButton,1,831,692,
273,841168,LMouseButton,1,647,634,
274,843321,LMouseButton,1,575,568,
275,844068,LMouseButton,1,575,568,
276,846809,LMouseButton,1,585,669,
277,853010,LMouseButton,1,562,615,
278,853348,LMouseButton,1,556,623,
279,859050,LMouseButton,1,17,230,
280,861044,LMouseButton,1,495,249,
281,862379,LMouseButton,1,664,252,
282,863376,LMouseButton,1,613,302,
283,879634,LMouseButton,1,520,466,
284,889832,LMouseButton,1,371,999,
285,891855,LMouseButton,1,395,838,
286,897807,LMouseButton,1,656,737,
287,899172,LMouseButton,1,744,728,
288,900080,LMouseButton,1,681,663,
289,901555,LMouseButton,1,169,520,
290,902971,LMouseButton,1,485,380,
291,903888,LMouseButton,1,537,364,
292,904761,LMouseButton,1,528,297,
293,905074,LMouseButton,1,537,298,
294,908783,LMouseButton,1,535,490,
295,909022,LMouseButton,1,540,497,
296,910398,LMouseButton,1,580,561,
297,911485,LMouseButton,1,512,498,
298,912262,LMouseButton,1,479,393,
299,913638,LMouseButton,1,527,459,
300,914835,LMouseButton,1,512,458,
301,915214,LMouseButton,1,521,451,
302,916270,LMouseButton,1,529,457,
303,918085,LMouseButton,1,405,170,
304,921255,LMouseButton,1,629,533,
305,928861,LMouseButton,1,562,602,
306,930307,LMouseButton,1,481,646,
307,935770,LMouseButton,1,606,660,
308,937844,LMouseButton,1,611,658,
309,941333,LMouseButton,1,777,285,
310,943297,LMouseButton,1,677,675,
311,943576,LMouseButton,1,676,671,
312,943865,LMouseButton,1,680,665,
313,946019,LMouseButton,1,704,749,
314,946368,LMouseButton,1,689,747,
315,966664,LMouseButton,1,797,650,
316,971878,LMouseButton,1,784,909,
317,974161,LMouseButton,1,820,630,
318,976793,LMouseButton,1,818,532,
319,978657,LMouseButton,1,774,441,
320,979425,LMouseButton,1,809,527,
321,980183,LMouseButton,1,816,624,
322,982605,LMouseButton,1,766,782,
323,983164,LMouseButton,1,760,781,
324,986134,LMouseButton,1,760,781,
325,987182,LMouseButton,1,737,692,
326,990651,LMouseButton,1,648,647,
327,995656,LMouseButton,1,645,643,
328,996373,LMouseButton,1,645,643,
329,1004409,LMouseButton,1,531,646,
330,1005167,LMouseButton,1,531,646,
331,1015216,LMouseButton,1,468,557,
332,1016941,LMouseButton,1,527,648,
333,1017569,LMouseButton,1,527,648,
334,1022046,LMouseButton,1,432,625,
335,1026313,LMouseButton,1,454,705,
336,1029224,LMouseButton,1,567,748,
337,1032644,LMouseButton,1,595,721,
338,1038895,LMouseButton,1,684,776,
339,1039264,LMouseButton,1,684,776,
340,1039414,LMouseButton,1,684,776,
341,1039572,LMouseButton,1,684,776,
342,1039713,LMouseButton,1,684,776,
343,1039883,LMouseButton,1,684,776,
344,1040062,LMouseButton,1,684,776,
345,1042056,LMouseButton,1,598,719,
346,1053053,LMouseButton,1,650,489,
347,1057589,LMouseButton,1,648,394,
348,1061208,LMouseButton,1,597,561,
349,1062105,LMouseButton,1,645,485,
350,1062434,LMouseButton,1,647,486,
351,1063212,LMouseButton,1,648,486,
352,1065515,LMouseButton,1,648,486,
353,1066352,LMouseButton,1,648,486,
354,1069782,LMouseButton,1,522,417,
355,1072982,LMouseButton,1,515,407,
356,1073461,LMouseButton,1,518,410,
357,1074258,LMouseButton,1,515,415,
358,1075245,LMouseButton,1,582,492,
359,1080104,LMouseButton,1,611,589,
360,1081078,LMouseButton,1,611,589,
361,1085335,LMouseButton,1,676,660,
362,1091417,LMouseButton,1,678,656,
363,1092673,LMouseButton,1,608,716,
364,1092913,LMouseButton,1,600,725,
365,1095894,LMouseButton,1,595,718,
366,1100310,LMouseButton,1,430,625,
367,1111884,LMouseButton,1,430,625,
368,1113629,LMouseButton,1,444,584,
369,1114277,LMouseButton,1,444,584,
370,1173284,LMouseButton,1,602,291,
371,1175029,LMouseButton,1,485,254,
372,1185487,LMouseButton,1,919,318,
373,1187032,LMouseButton,1,637,208,
374,1188318,LMouseButton,1,927,316,
375,1188846,LMouseButton,1,928,300,
376,1205784,LMouseButton,1,743,32,
