1626	81	799	445	0.823	0.353	808.127	3.494	0	802	432	0.598	0.344	804.058	3.302	0
1646	82	739	355	0.823	0.351	808.127	3.641	0	-1280	-1024	0.823	0.351	-1.000	-1.000	4
1666	83	690	397	0.824	0.351	808.127	3.804	0	-1280	-1024	0.824	0.351	-1.000	-1.000	4
1686	84	689	311	0.824	0.351	808.127	3.954	0	-1280	-1024	0.824	0.351	-1.000	-1.000	4
1706	85	699	329	0.824	0.352	808.127	4.065	0	-1280	-1024	0.824	0.352	-1.000	-1.000	4
1726	86	708	337	0.823	0.352	801.441	4.143	0	-1280	-1024	0.598	0.343	-1.000	-1.000	4
1746	87	674	487	0.823	0.351	801.441	3.333	0	675	408	0.598	0.343	787.140	3.443	0
1766	88	706	439	0.823	0.351	801.441	3.485	0	675	375	0.599	0.343	787.140	3.757	0
1786	89	695	433	0.823	0.351	801.441	3.345	0	668	394	0.598	0.343	787.140	3.718	0
1806	90	671	439	0.823	0.351	801.441	3.453	0	664	434	0.598	0.343	787.140	3.962	0
1825	91	655	436	0.822	0.351	801.765	3.396	0	657	400	0.598	0.343	800.883	4.087	0
1845	92	643	477	0.822	0.351	801.765	3.505	0	679	471	0.598	0.343	800.883	3.479	0
1865	93	683	470	0.823	0.352	801.765	3.450	0	691	483	0.598	0.343	800.883	3.423	0
1885	94	703	461	0.823	0.352	801.765	3.381	0	679	448	0.598	0.343	800.883	3.419	0
1905	95	687	455	0.823	0.352	801.765	3.448	0	677	471	0.598	0.343	800.883	3.312	0
1925	96	695	447	0.822	0.352	802.541	3.427	0	675	475	0.598	0.343	796.699	3.257	0
1945	97	671	445	0.822	0.351	802.541	3.673	0	690	449	0.598	0.343	796.699	3.287	0
1965	98	665	472	0.823	0.351	802.541	3.590	0	685	457	0.599	0.343	796.699	3.367	0
1985	99	681	474	0.823	0.351	802.541	3.508	0	699	472	0.599	0.343	796.699	3.482	0
2005	100	664	468	0.823	0.351	802.541	3.539	0	702	444	0.599	0.343	796.699	3.353	0
2025	101	670	469	0.823	0.351	801.636	3.491	0	705	462	0.598	0.343	790.674	3.361	0
2045	102	678	508	0.823	0.351	801.636	3.575	0	704	451	0.598	0.343	790.674	3.411	0
2065	103	680	506	0.823	0.352	801.636	3.568	0	693	452	0.599	0.343	790.674	3.446	0
2085	104	685	479	0.824	0.352	801.636	3.597	0	673	475	0.599	0.343	790.674	3.436	0
2105	105	707	491	0.824	0.352	801.636	3.797	0	684	476	0.599	0.343	790.674	3.479	0
2125	106	717	481	0.823	0.352	801.851	3.820	0	675	476	0.599	0.343	791.902	3.492	0
2144	107	690	476	0.823	0.352	801.851	3.635	0	716	456	0.599	0.343	791.902	3.443	0
2164	108	678	479	0.824	0.352	801.851	3.557	0	704	486	0.600	0.343	791.902	3.537	0
2184	109	652	493	0.824	0.352	801.851	3.608	0	682	452	0.600	0.343	791.902	3.421	0
2204	110	679	501	0.824	0.351	801.851	3.572	0	689	454	0.600	0.343	791.902	3.445	0
2224	111	670	506	0.824	0.351	803.372	3.601	0	696	459	0.600	0.343	792.569	3.466	0
2244	112	663	451	0.824	0.351	803.372	3.464	0	703	457	0.600	0.343	792.569	3.330	0
2264	113	685	480	0.825	0.352	803.372	3.445	0	688	455	0.601	0.343	792.569	3.404	0
2284	114	659	458	0.825	0.352	803.372	3.558	0	690	456	0.601	0.343	792.569	3.391	0
2304	115	680	453	0.825	0.352	803.372	3.519	0	694	477	0.601	0.343	792.569	3.476	0
2324	116	673	466	0.824	0.352	800.563	3.531	0	697	475	0.600	0.343	794.416	3.503	0
2344	117	691	444	0.824	0.352	800.563	3.432	0	695	460	0.600	0.343	794.416	3.313	0
2364	118	713	519	0.825	0.352	800.563	3.565	0	717	460	0.601	0.343	794.416	3.355	0
2384	119	693	447	0.825	0.352	800.563	3.564	0	689	465	0.601	0.343	794.416	3.271	0
2404	120	668	485	0.825	0.352	800.563	3.460	0	699	448	0.601	0.343	794.416	3.272	0
2424	121	648	503	0.824	0.352	804.367	3.544	0	684	451	0.600	0.343	793.076	3.267	0
2444	122	406	291	0.825	0.350	804.367	3.443	0	455	313	0.602	0.341	793.076	3.281	0
2463	123	190	138	0.827	0.349	804.367	3.494	0	264	197	0.605	0.340	793.076	3.337	0
2483	124	185	118	0.827	0.349	804.367	3.312	0	220	121	0.605	0.340	793.076	3.272	0
2503	125	158	126	0.827	0.349	804.367	3.293	0	228	111	0.605	0.340	793.076	3.316	0
2523	126	151	122	0.826	0.349	801.801	3.264	0	236	101	0.604	0.340	792.857	3.286	0
2543	127	163	152	0.826	0.349	801.801	3.335	0	221	106	0.603	0.340	792.857	3.403	0
2563	128	163	143	0.825	0.349	801.801	3.254	0	211	100	0.603	0.340	792.857	3.322	0
2583	129	162	114	0.825	0.349	801.801	3.309	0	200	94	0.602	0.340	792.857	3.383	0
2603	130	175	119	0.825	0.348	801.801	3.232	0	206	108	0.602	0.340	792.857	3.376	0
2623	131	183	135	0.826	0.349	797.194	3.224	0	201	107	0.603	0.340	791.287	3.362	0
2643	132	183	125	0.826	0.348	797.194	3.328	0	202	106	0.603	0.340	791.287	3.209	0
2663	133	191	135	0.826	0.349	797.194	3.202	0	196	111	0.603	0.340	791.287	3.318	0
2683	134	176	143	0.826	0.349	797.194	3.230	0	211	125	0.603	0.340	791.287	3.243	0
2703	135	158	142	0.826	0.349	797.194	3.303	0	209	105	0.603	0.340	791.287	3.283	0
2723	136	153	134	0.827	0.349	799.927	3.256	0	210	114	0.604	0.340	789.942	3.240	0
2743	137	158	131	0.827	0.349	799.927	3.358	0	209	95	0.604	0.340	789.942	3.245	0
2763	138	152	121	0.827	0.349	799.927	3.340	0	202	121	0.604	0.340	789.942	3.269	0
2782	139	172	135	0.827	0.349	799.927	3.324	0	205	104	0.604	0.340	789.942	3.265	0
2802	140	159	152	0.828	0.349	799.927	3.359	0	205	107	0.605	0.340	789.942	3.262	0
2822	141	163	150	0.828	0.349	800.706	3.348	0	200	98	0.605	0.340	794.623	3.278	0
2842	142	257	106	0.827	0.349	800.706	3.396	0	299	30	0.605	0.340	794.623	3.356	0
2862	143	325	37	0.827	0.349	800.706	3.400	0	389	23	0.605	0.340	794.623	3.243	0
2882	144	353	38	0.827	0.349	800.706	3.284	0	398	37	0.605	0.340	794.623	3.216	0
2902	145	327	31	0.827	0.349	800.706	3.425	0	382	41	0.605	0.340	794.623	3.268	0
2922	146	334	15	0.828	0.349	805.944	3.422	0	381	22	0.605	0.340	800.857	3.293	0
2942	147	339	33	0.828	0.350	805.944	3.457	0	372	22	0.606	0.340	800.857	3.245	0
2962	148	334	25	0.828	0.350	805.944	3.396	0	416	26	0.606	0.340	800.857	3.253	0
2982	149	335	12	0.829	0.350	805.944	3.438	0	388	-9	0.607	0.341	800.857	3.294	0
3002	150	336	-3	0.829	0.350	805.944	3.477	0	414	30	0.607	0.341	800.857	3.265	0
3022	151	334	-16	0.829	0.350	806.964	3.463	0	403	22	0.607	0.341	801.190	3.283	0
3042	152	343	31	0.829	0.351	806.964	3.405	0	402	42	0.607	0.341	801.190	3.292	0
3062	153	346	28	0.830	0.351	806.964	3.435	0	405	24	0.608	0.341	801.190	3.298	0
3082	154	351	29	0.830	0.351	806.964	3.387	0	398	38	0.608	0.341	801.190	3.223	0
3101	155	357	28	0.830	0.351	806.964	3.367	0	402	37	0.608	0.341	801.190	3.239	0
3121	156	358	27	0.830	0.351	807.536	3.370	0	403	35	0.607	0.341	801.337	3.257	0
3141	157	344	22	0.830	0.350	807.536	3.420	0	400	43	0.607	0.341	801.337	3.319	0
3161	158	348	-10	0.829	0.350	807.536	3.423	0	387	-6	0.607	0.341	801.337	3.334	0
3181	159	353	22	0.829	0.350	807.536	3.384	0	377	16	0.607	0.340	801.337	3.317	0
3201	160	356	1	0.829	0.350	807.536	3.471	0	378	21	0.607	0.340	801.337	3.318	0
3221	161	361	21	0.829	0.349	805.416	3.458	0	381	29	0.607	0.340	800.970	3.316	0
3241	162	357	29	0.829	0.349	805.416	3.425	0	380	14	0.607	0.340	800.970	3.362	0
3261	163	342	21	0.829	0.349	805.416	3.455	0	383	27	0.607	0.339	800.970	3.401	0
3281	164	339	23	0.829	0.348	805.416	3.417	0	403	30	0.607	0.339	800.970	3.340	0
3301	165	369	40	0.829	0.348	805.416	3.465	0	390	92	0.606	0.338	800.970	3.322	0
3321	166	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
3341	167	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
3361	168	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
3381	169	-1280	-1024	0.830	0.347	-1.000	-1.000	4	-1280	-1024	0.609	0.336	-1.000	-1.000	4
3401	170	-38	-209	0.830	0.346	800.494	4.146	0	76	-71	0.609	0.335	802.571	3.793	0
3421	171	12	47	0.830	0.346	800.494	3.362	0	101	-68	0.608	0.334	802.571	3.833	0
3440	172	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
3460	173	30	28	0.829	0.344	800.494	3.479	0	83	43	0.608	0.331	802.571	3.369	0
3480	174	35	18	0.829	0.343	800.921	3.539	0	94	69	0.607	0.330	802.522	3.288	0
3500	175	20	48	0.829	0.341	800.921	3.450	0	58	23	0.607	0.328	802.522	3.428	0
3520	176	15	47	0.828	0.340	800.921	3.511	0	63	22	0.607	0.326	802.522	3.419	0
3540	177	31	49	0.828	0.338	800.921	3.452	0	66	25	0.607	0.325	802.522	3.420	0
3560	178	40	68	0.827	0.337	800.921	3.485	0	85	36	0.607	0.323	802.522	3.449	0
3580	179	38	57	0.827	0.335	805.678	3.525	0	88	29	0.606	0.321	805.675	3.460	0
3600	180	40	67	0.825	0.333	805.678	3.557	0	73	53	0.606	0.319	805.675	3.417	0
3620	181	13	87	0.824	0.332	805.678	3.518	0	78	19	0.605	0.318	805.675	3.398	0
3640	182	39	82	0.823	0.330	805.678	3.562	0	84	44	0.604	0.316	805.675	3.471	0
3660	183	48	97	0.822	0.329	805.678	3.565	0	90	27	0.603	0.316	805.675	3.488	0
3680	184	35	72	0.821	0.329	816.056	3.602	0	88	16	0.602	0.316	813.337	3.537	0
3700	185	50	68	0.820	0.330	816.056	3.634	0	80	21	0.602	0.317	813.337	3.540	0
3720	186	23	79	0.819	0.332	816.056	3.606	0	100	18	0.601	0.319	813.337	3.487	0
3740	187	82	110	0.817	0.335	816.056	3.607	0	126	54	0.601	0.321	813.337	3.528	0
3759	188	106	104	0.816	0.338	816.056	3.598	0	115	59	0.600	0.324	813.337	3.489	0
3779	189	104	55	0.815	0.342	833.427	3.671	0	96	38	0.600	0.328	823.146	3.545	0
3799	190	77	94	0.814	0.346	833.427	3.655	0	116	60	0.600	0.331	823.146	3.604	0
3819	191	85	101	0.813	0.349	833.427	3.636	0	126	55	0.600	0.334	823.146	3.398	0
3839	192	85	88	0.812	0.353	833.427	3.653	0	137	57	0.600	0.337	823.146	3.437	0
3859	193	110	129	0.811	0.356	833.427	3.555	0	136	84	0.600	0.339	823.146	3.471	0
3879	194	98	88	0.810	0.359	852.146	3.620	0	123	47	0.600	0.342	837.367	3.565	0
3899	195	-1280	-1024	0.600	0.344	-1.000	-1.000	4	144	85	0.600	0.344	837.367	3.448	0
3919	196	204	83	0.808	0.365	852.146	3.670	0	272	50	0.599	0.346	837.367	3.475	0
3939	197	288	102	0.806	0.366	852.146	3.584	0	329	53	0.599	0.346	837.367	3.535	0
3959	198	294	94	0.806	0.368	852.146	3.558	0	350	64	0.600	0.347	837.367	3.399	0
3979	199	279	59	0.806	0.369	871.342	3.612	0	353	10	0.600	0.348	860.210	3.516	0
3999	200	258	87	0.806	0.372	871.342	3.710	0	331	5	0.600	0.350	860.210	3.465	0
4019	201	284	70	0.805	0.375	871.342	3.661	0	317	38	0.601	0.353	860.210	3.541	0
4039	202	285	59	0.805	0.378	871.342	3.674	0	329	51	0.601	0.356	860.210	3.530	0
4059	203	291	76	0.804	0.382	871.342	3.647	0	332	26	0.601	0.359	860.210	3.503	0
4078	204	287	55	0.804	0.385	879.948	3.683	0	323	23	0.601	0.363	869.518	3.579	0
